generation,amount_creatures,average_energy,average_speed,average_sense,reproduced,survived,died
133,53,1.7171257584210993,0.5866692464532102,5.018502208196585,18,15,20
134,52,1.799020990448187,0.582864527904575,5.019325370182016,16,16,20
135,51,1.8201797716135542,0.5754582075421436,5.019721492260261,14,18,19
136,48,1.9395700368848499,0.5699199334256111,5.00885561637713,18,9,21
137,50,1.8223976363664747,0.5714875532513084,5.019530035638347,19,10,21
138,49,1.92942277153712,0.5725327716451883,5.12349686407816,18,13,18
139,50,1.8465362993574714,0.5674841892719974,5.165824553171877,19,9,22
140,49,1.8010949057485501,0.5642958043543125,5.188725779310494,17,10,22
141,49,1.8037636833060653,0.5718712081970851,5.123287313530889,17,18,14
142,53,1.7776998072698833,0.5746006821765649,5.158977001490134,17,11,25
143,47,1.8872455276442222,0.5831978381873891,5.140992977068807,17,14,16
144,49,1.7694932505838739,0.5893676073090317,5.1402682514134,18,8,23
145,45,1.9980211209091996,0.5862679647143604,5.107743189430602,19,7,19
146,49,1.8155941957840185,0.6034236334988226,5.122378136568719,14,14,21
147,45,1.9524456949351392,0.6179281773698363,5.00467352481794,18,11,16
148,51,1.833490796332361,0.6326285099742751,5.077558836570213,18,13,20
149,50,1.8442354455748289,0.6239831453176846,5.184098974872576,17,11,22
150,47,1.874103752204462,0.6231558603343488,5.1377999181630445,17,13,17
151,49,1.830220889561323,0.6329417808919341,5.074783759185869,13,11,25
152,44,1.8976571894144696,0.6243141943787897,5.071307455897842,13,11,20
153,43,1.9328170547432297,0.6394203827324838,4.993895810773154,14,14,15
154,45,1.9374365434174552,0.6502895369671206,4.9463914297990454,21,5,19
155,48,1.8492690863614103,0.6515701936902815,4.962015588485328,20,6,22
156,49,1.8434419164712852,0.6488004215145861,4.987489716830016,19,8,22
157,49,1.8358595168615561,0.6511746448256258,4.960594128930303,18,10,21
158,49,1.837417525094646,0.6554137502209536,4.954788023605204,19,7,23
159,48,1.8859469895951477,0.6654899822470157,4.969825470027041,19,10,19
160,49,1.8372536666247925,0.6683302868768362,4.990731152637763,19,13,17
161,53,1.79998153851397,0.6755063787652186,4.966125574984756,17,16,20
162,52,1.8511411034551228,0.6782894967764916,4.95967729857014,17,10,25
163,48,1.9044678856257746,0.6865020542502762,5.09177804167413,21,12,15
164,54,1.8087818222550898,0.691985237190263,5.1299265480813805,16,14,24
165,46,1.8627860968137275,0.6877601960513453,5.062552816060356,16,9,21
166,47,1.9031150695417678,0.6943580577472701,4.998736982854567,13,16,18
167,46,1.845757621658301,0.701359292123909,4.978314692188703,17,10,19
168,48,1.8587791596576357,0.7100667376701405,4.941083492175078,19,9,20
169,47,1.920069243729003,0.7133176535544125,5.013621283564423,18,11,18
170,48,1.885240996719654,0.7316755877568282,5.085428407649694,15,15,18
171,49,1.8847545198761093,0.7408071287982315,5.040303663052418,19,10,20
172,51,1.8254496954767774,0.7510426064313589,5.0830456015279335,19,11,21
173,50,1.803081023332314,0.7522061144435354,5.00003334729244,18,12,20
174,50,1.8314026168394733,0.7664495312431007,5.002372277403202,20,9,21
175,52,1.8108069903084223,0.774520007180688,4.945484037080381,17,9,26
176,45,1.9116181766221123,0.786741293945635,4.851069970307841,14,13,18
177,47,1.916007670620965,0.7950092360879151,4.840607911881316,14,14,19
178,46,1.9407162830907376,0.7975726522179964,4.92269833478054,18,3,25
179,44,1.946923597622537,0.815477838869873,4.740553978295282,19,6,19
180,47,1.8815439010623334,0.7971054599236246,4.774908147563138,17,11,19
181,47,1.854196301415408,0.802969154667716,4.6192954584893675,17,12,18
182,48,1.9070701561559869,0.8043382717643713,4.6887822008372595,18,12,18
183,49,1.860954019434308,0.8068594424029865,4.671420573359207,17,14,18
184,51,1.8650478550236929,0.8068305534443224,4.700279411717321,17,5,29
185,43,1.8400831338222021,0.8176606697768918,4.62603679333288,14,12,17
186,43,1.875957406530749,0.8143126777296006,4.600870983251894,18,5,20
187,45,1.993291868957578,0.8183708076311002,4.600377331605968,17,13,15
188,49,1.8645911387688925,0.8219274510207798,4.682237442637635,19,12,18
189,53,1.775138983453537,0.8238793483306557,4.769604987704322,18,13,22
190,52,1.8173640761517862,0.8401033479664938,4.746127053836964,20,13,19
191,54,1.7978906066091398,0.8401816019015379,4.728529715632347,18,12,24
192,51,1.8565499727430645,0.8486690850212446,4.640084022387227,16,17,18
193,52,1.8375250561455396,0.8553459699636529,4.635916733208225,18,12,22
194,50,1.8895534986801004,0.8380271582589923,4.659037126941037,17,12,21
195,49,1.91459639473136,0.851441285409448,4.726681597400347,17,10,22
196,49,1.8901473997037017,0.86618282749686,4.713358321307977,15,15,19
197,46,1.9760263917097762,0.8576475942636833,4.738634516594692,19,10,17
198,51,1.8302096955060008,0.8542177726386725,4.649285267232263,21,8,22
199,51,1.8701304049977356,0.8413907669295383,4.618328136372918,17,15,19
