generation,amount_creatures,average_energy,average_speed,average_sense
91,36,1.0710104216034795,1.253850546085384,1.5053767100267674
92,30,1.3027891847089483,1.2421359462336852,1.52022342326922
93,31,1.2261681889103595,1.2442577683667477,1.5334942483250655
94,31,1.3753796082755791,1.2592096141921112,1.5371569505691007
95,33,1.1848745391276774,1.2475411473703615,1.535496487720874
96,32,1.1171146747433334,1.2501065994644533,1.5567617780740979
97,32,1.2357861008941435,1.259526868067007,1.554614521752665
98,34,1.2281131013735997,1.2588210868623209,1.5517048064524472
99,36,1.1448763260231234,1.2479680182282946,1.5494902964807702
100,33,1.2517417426651782,1.2256259473065596,1.565959614617423
101,29,1.2042057495771674,1.2196084762420911,1.575901437081993
102,29,1.2339305406775358,1.2264417165295394,1.5754873760109491
103,27,1.3647847063682417,1.2131289269039756,1.5796344875093544
104,28,1.3614926251381958,1.2008834971318785,1.589931080431926
105,31,1.272474353395556,1.2030090785874572,1.5851575870167822
106,31,1.0511627835457567,1.1939556751529448,1.5916102747672396
107,27,1.4043833614222951,1.2009828245441103,1.6030524235584063
108,31,1.3981018555338722,1.2086323753903927,1.5864486756196654
109,33,1.2717562466265706,1.189785234921067,1.5872577558515641
110,36,1.2325091200548526,1.1845364663470082,1.5954665549258262
111,33,1.269390018771075,1.1830450528462695,1.6119042042664415
112,35,1.366781518244963,1.196474346270388,1.6082380513029249
113,40,0.8881648449997133,1.201078877070532,1.584247509516799
114,29,1.4211109474285972,1.210044578769116,1.572214138101189
115,32,1.2957870493604544,1.226699535595729,1.5411560371141206
116,35,1.1639328331654144,1.2277922928119405,1.5434734496160403
117,33,1.1329649455196569,1.2322366438684165,1.546327386549476
118,32,1.2165581837589237,1.2415200054068625,1.5613709405402787
119,32,1.2093070135737165,1.2367920619791486,1.59813525878199
120,32,1.1678392465269853,1.2450645755436889,1.6141246348103875
121,32,1.2290921299105646,1.2512640330037959,1.6029932512841112
122,35,1.106059245561435,1.2441354198236974,1.604159500696592
123,34,1.215140428068715,1.2464013926206916,1.6312747042298261
124,35,1.125943787304588,1.2466548965490472,1.6283827077379822
125,33,1.2448505753521766,1.2425103577307228,1.6590521431373844
126,36,1.1649912735890102,1.2479796484203936,1.6773629279908353
127,35,1.0297041879136684,1.2554133995827106,1.6437423754061409
128,31,1.222081666540637,1.2532002417741144,1.640416512887217
129,32,1.0569879339679185,1.2519822378013756,1.6567365105540595
130,27,1.565818537021354,1.252422041631097,1.689056309107407
